/home/cliu7/utils/AdmixTools/bin/qp3Pop: parameter file: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.geno
snpname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.snp
indivname: /scratch/cliu7/ancient_ACA/data/tidy/eigenstrat/HO_all_merged.ind
popfilename: /home/cliu7/ancient_ACA/data/params/fstats/HO_all_merged.outgroup_f3.poptable.txt
inbreed: NO
outgroupmode: YES
## qp3Pop version: 435
packed geno read OK
end of inpack
nplist: 385
number of blocks for block jackknife: 710
snps: 498990
                      Source 1             Source 2               Target           f_3       std. err           Z    SNPs
 result:                Hezhen             Samdzong                Mbuti     69.921808       0.517181     135.198  437209
 result:                Hezhen               Mebrak                Mbuti     69.913301       0.539108     129.683  437061
 result:                Hezhen                Kyang                Mbuti     69.970154       0.526782     132.826  436736
 result:                Hezhen                Suila                Mbuti     69.674523       0.633464     109.990  279988
 result:              Japanese           Chokhopani                Mbuti     70.314116       0.532907     131.944  441839
 result:              Japanese               Rhirhi                Mbuti     69.862445       0.532615     131.169  435344
 result:              Japanese               Lubrak                Mbuti     70.419660       0.592472     118.857  289011
 result:              Japanese             Samdzong                Mbuti     70.269355       0.516378     136.081  443814
 result:              Japanese               Mebrak                Mbuti     70.254262       0.541112     129.833  443837
 result:              Japanese                Kyang                Mbuti     70.211585       0.525881     133.512  443371
 result:              Japanese                Suila                Mbuti     69.773054       0.620284     112.486  286183
 result:                  Kinh           Chokhopani                Mbuti     69.452463       0.527397     131.689  433890
 result:                  Kinh               Rhirhi                Mbuti     68.666261       0.532559     128.937  428153
 result:                  Kinh               Lubrak                Mbuti     69.354537       0.586992     118.152  283275
 result:                  Kinh             Samdzong                Mbuti     69.203745       0.513701     134.716  437835
 result:                  Kinh               Mebrak                Mbuti     69.138543       0.530193     130.403  437741
 result:                  Kinh                Kyang                Mbuti     69.184647       0.521478     132.670  437165
 result:                  Kinh                Suila                Mbuti     68.679310       0.622226     110.377  280336
 result:                Korean           Chokhopani                Mbuti     70.917071       0.536071     132.290  430110
 result:                Korean               Rhirhi                Mbuti     70.463491       0.538269     130.907  424579
 result:                Korean               Lubrak                Mbuti     71.065075       0.600891     118.266  280634
 result:                Korean             Samdzong                Mbuti     70.785002       0.518199     136.598  434742
 result:                Korean               Mebrak                Mbuti     70.816615       0.543653     130.261  434437
 result:                Korean                Kyang                Mbuti     70.719424       0.529910     133.455  434154
 result:                Korean                Suila                Mbuti     70.160112       0.628413     111.646  277745
 result:                  Lahu           Chokhopani                Mbuti     69.871653       0.543069     128.661  431684
 result:                  Lahu               Rhirhi                Mbuti     69.109451       0.538308     128.383  426057
 result:                  Lahu               Lubrak                Mbuti     69.817805       0.606453     115.125  281752
 result:                  Lahu             Samdzong                Mbuti     69.719820       0.511393     136.333  436043
 result:                  Lahu               Mebrak                Mbuti     69.572358       0.531495     130.899  435896
 result:                  Lahu                Kyang                Mbuti     69.638791       0.523483     133.030  435492
 result:                  Lahu                Suila                Mbuti     69.273170       0.621454     111.470  278804
 result:                  Miao           Chokhopani                Mbuti     70.612234       0.539986     130.767  434619
 result:                  Miao               Rhirhi                Mbuti     69.915526       0.538539     129.824  428782
 result:                  Miao               Lubrak                Mbuti     70.761067       0.605019     116.957  283884
